amazon.com,176.32.98.166
wordpress.com,192.0.78.9
tudou.com,123.126.98.151
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.178.96.59
hao123.com,180.149.132.19
windows.com,134.170.188.221
ebay.com,66.135.216.190
pps.tv,58.83.190.154
xunlei.com,163.177.79.253
56.com,59.32.213.232
fc2.com,54.215.250.132
paypal.com,66.211.169.66
sogou.com,180.149.156.69
tmall.com,110.75.115.70
ku6.com,122.11.45.242
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.70.85
